fac_AU01int,fac_AU02int,fac_AU04int,fac_AU05int,fac_AU06int,fac_AU07int,fac_AU09int,fac_AU10int,fac_AU12int,fac_AU14int,fac_AU15int,fac_AU17int,fac_AU20int,fac_AU23int,fac_AU25int,fac_AU26int,fac_AU45int,fac_AU01pres,fac_AU02pres,fac_AU04pres,fac_AU05pres,fac_AU06pres,fac_AU07pres,fac_AU09pres,fac_AU10pres,fac_AU12pres,fac_AU14pres,fac_AU15pres,fac_AU17pres,fac_AU20pres,fac_AU23pres,fac_AU25pres,fac_AU26pres,fac_AU28pres,fac_AU45pres,frame,face_id,timestamp,confidence,success,dbm_master_url
0.0,0.81,1.12,0.19,0.0,1.24,0.0,0.0,0.0,0.07,0.04,0.11,0.47,0.0,0.16,0.02,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.35,0.98,0.06,0.0,1.23,0.0,0.03,0.0,0.02,0.1,0.07,0.27,0.03,0.12,0.07,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.033,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.09,0.91,0.0,0.0,1.32,0.0,0.03,0.0,0.0,0.09,0.08,0.22,0.08,0.06,0.06,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.067,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.04,0.98,0.0,0.0,1.23,0.0,0.03,0.0,0.0,0.09,0.11,0.25,0.15,0.0,0.01,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0.1,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.03,1.02,0.0,0.0,1.24,0.01,0.0,0.0,0.0,0.0,0.1,0.22,0.21,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0.133,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.02,1.08,0.03,0.0,1.08,0.04,0.0,0.0,0.0,0.01,0.05,0.15,0.23,0.06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0.16699999999999998,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.01,1.14,0.03,0.0,1.13,0.06,0.0,0.0,0.0,0.01,0.03,0.05,0.23,0.13,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0.2,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.01,1.19,0.03,0.0,1.08,0.05,0.0,0.0,0.0,0.01,0.0,0.05,0.21,0.25,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0,0.233,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.01,1.24,0.0,0.0,1.08,0.04,0.0,0.0,0.01,0.05,0.01,0.12,0.22,0.25,0.02,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,0,0.267,0.98,1,sample_data/subj02_timepoint01.mp4
0.0,0.0,1.2,0.0,0.0,1.06,0.05,0.0,0.0,0.01,0.1,0.04,0.21,0.23,0.19,0.06,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0,0.3,0.98,1,sample_data/subj02_timepoint01.mp4
