aco_hnr,Frames,dbm_master_url,error_reason
,0,sample_data/subj02_timepoint01.mp4,Pass
,1,sample_data/subj02_timepoint01.mp4,Pass
,2,sample_data/subj02_timepoint01.mp4,Pass
,3,sample_data/subj02_timepoint01.mp4,Pass
,4,sample_data/subj02_timepoint01.mp4,Pass
,5,sample_data/subj02_timepoint01.mp4,Pass
,6,sample_data/subj02_timepoint01.mp4,Pass
,7,sample_data/subj02_timepoint01.mp4,Pass
,8,sample_data/subj02_timepoint01.mp4,Pass
,9,sample_data/subj02_timepoint01.mp4,Pass
,10,sample_data/subj02_timepoint01.mp4,Pass
,11,sample_data/subj02_timepoint01.mp4,Pass
,12,sample_data/subj02_timepoint01.mp4,Pass
,13,sample_data/subj02_timepoint01.mp4,Pass
,14,sample_data/subj02_timepoint01.mp4,Pass
,15,sample_data/subj02_timepoint01.mp4,Pass
,16,sample_data/subj02_timepoint01.mp4,Pass
,17,sample_data/subj02_timepoint01.mp4,Pass
,18,sample_data/subj02_timepoint01.mp4,Pass
,19,sample_data/subj02_timepoint01.mp4,Pass
,20,sample_data/subj02_timepoint01.mp4,Pass
,21,sample_data/subj02_timepoint01.mp4,Pass
,22,sample_data/subj02_timepoint01.mp4,Pass
,23,sample_data/subj02_timepoint01.mp4,Pass
,24,sample_data/subj02_timepoint01.mp4,Pass
,25,sample_data/subj02_timepoint01.mp4,Pass
,26,sample_data/subj02_timepoint01.mp4,Pass
,27,sample_data/subj02_timepoint01.mp4,Pass
,28,sample_data/subj02_timepoint01.mp4,Pass
,29,sample_data/subj02_timepoint01.mp4,Pass
,30,sample_data/subj02_timepoint01.mp4,Pass
,31,sample_data/subj02_timepoint01.mp4,Pass
,32,sample_data/subj02_timepoint01.mp4,Pass
,33,sample_data/subj02_timepoint01.mp4,Pass
,34,sample_data/subj02_timepoint01.mp4,Pass
,35,sample_data/subj02_timepoint01.mp4,Pass
,36,sample_data/subj02_timepoint01.mp4,Pass
,37,sample_data/subj02_timepoint01.mp4,Pass
,38,sample_data/subj02_timepoint01.mp4,Pass
,39,sample_data/subj02_timepoint01.mp4,Pass
,40,sample_data/subj02_timepoint01.mp4,Pass
,41,sample_data/subj02_timepoint01.mp4,Pass
,42,sample_data/subj02_timepoint01.mp4,Pass
,43,sample_data/subj02_timepoint01.mp4,Pass
,44,sample_data/subj02_timepoint01.mp4,Pass
,45,sample_data/subj02_timepoint01.mp4,Pass
,46,sample_data/subj02_timepoint01.mp4,Pass
,47,sample_data/subj02_timepoint01.mp4,Pass
,48,sample_data/subj02_timepoint01.mp4,Pass
,49,sample_data/subj02_timepoint01.mp4,Pass
,50,sample_data/subj02_timepoint01.mp4,Pass
,51,sample_data/subj02_timepoint01.mp4,Pass
,52,sample_data/subj02_timepoint01.mp4,Pass
,53,sample_data/subj02_timepoint01.mp4,Pass
,54,sample_data/subj02_timepoint01.mp4,Pass
,55,sample_data/subj02_timepoint01.mp4,Pass
,56,sample_data/subj02_timepoint01.mp4,Pass
,57,sample_data/subj02_timepoint01.mp4,Pass
,58,sample_data/subj02_timepoint01.mp4,Pass
,59,sample_data/subj02_timepoint01.mp4,Pass
,60,sample_data/subj02_timepoint01.mp4,Pass
,61,sample_data/subj02_timepoint01.mp4,Pass
,62,sample_data/subj02_timepoint01.mp4,Pass
,63,sample_data/subj02_timepoint01.mp4,Pass
,64,sample_data/subj02_timepoint01.mp4,Pass
,65,sample_data/subj02_timepoint01.mp4,Pass
,66,sample_data/subj02_timepoint01.mp4,Pass
,67,sample_data/subj02_timepoint01.mp4,Pass
,68,sample_data/subj02_timepoint01.mp4,Pass
,69,sample_data/subj02_timepoint01.mp4,Pass
,70,sample_data/subj02_timepoint01.mp4,Pass
,71,sample_data/subj02_timepoint01.mp4,Pass
,72,sample_data/subj02_timepoint01.mp4,Pass
,73,sample_data/subj02_timepoint01.mp4,Pass
,74,sample_data/subj02_timepoint01.mp4,Pass
,75,sample_data/subj02_timepoint01.mp4,Pass
,76,sample_data/subj02_timepoint01.mp4,Pass
,77,sample_data/subj02_timepoint01.mp4,Pass
,78,sample_data/subj02_timepoint01.mp4,Pass
,79,sample_data/subj02_timepoint01.mp4,Pass
,80,sample_data/subj02_timepoint01.mp4,Pass
,81,sample_data/subj02_timepoint01.mp4,Pass
,82,sample_data/subj02_timepoint01.mp4,Pass
,83,sample_data/subj02_timepoint01.mp4,Pass
,84,sample_data/subj02_timepoint01.mp4,Pass
,85,sample_data/subj02_timepoint01.mp4,Pass
,86,sample_data/subj02_timepoint01.mp4,Pass
,87,sample_data/subj02_timepoint01.mp4,Pass
,88,sample_data/subj02_timepoint01.mp4,Pass
,89,sample_data/subj02_timepoint01.mp4,Pass
,90,sample_data/subj02_timepoint01.mp4,Pass
,91,sample_data/subj02_timepoint01.mp4,Pass
,92,sample_data/subj02_timepoint01.mp4,Pass
,93,sample_data/subj02_timepoint01.mp4,Pass
,94,sample_data/subj02_timepoint01.mp4,Pass
,95,sample_data/subj02_timepoint01.mp4,Pass
,96,sample_data/subj02_timepoint01.mp4,Pass
,97,sample_data/subj02_timepoint01.mp4,Pass
,98,sample_data/subj02_timepoint01.mp4,Pass
,99,sample_data/subj02_timepoint01.mp4,Pass
,100,sample_data/subj02_timepoint01.mp4,Pass
,101,sample_data/subj02_timepoint01.mp4,Pass
,102,sample_data/subj02_timepoint01.mp4,Pass
,103,sample_data/subj02_timepoint01.mp4,Pass
,104,sample_data/subj02_timepoint01.mp4,Pass
,105,sample_data/subj02_timepoint01.mp4,Pass
,106,sample_data/subj02_timepoint01.mp4,Pass
,107,sample_data/subj02_timepoint01.mp4,Pass
,108,sample_data/subj02_timepoint01.mp4,Pass
,109,sample_data/subj02_timepoint01.mp4,Pass
,110,sample_data/subj02_timepoint01.mp4,Pass
,111,sample_data/subj02_timepoint01.mp4,Pass
,112,sample_data/subj02_timepoint01.mp4,Pass
,113,sample_data/subj02_timepoint01.mp4,Pass
,114,sample_data/subj02_timepoint01.mp4,Pass
,115,sample_data/subj02_timepoint01.mp4,Pass
,116,sample_data/subj02_timepoint01.mp4,Pass
,117,sample_data/subj02_timepoint01.mp4,Pass
,118,sample_data/subj02_timepoint01.mp4,Pass
,119,sample_data/subj02_timepoint01.mp4,Pass
,120,sample_data/subj02_timepoint01.mp4,Pass
,121,sample_data/subj02_timepoint01.mp4,Pass
,122,sample_data/subj02_timepoint01.mp4,Pass
,123,sample_data/subj02_timepoint01.mp4,Pass
,124,sample_data/subj02_timepoint01.mp4,Pass
,125,sample_data/subj02_timepoint01.mp4,Pass
,126,sample_data/subj02_timepoint01.mp4,Pass
,127,sample_data/subj02_timepoint01.mp4,Pass
,128,sample_data/subj02_timepoint01.mp4,Pass
,129,sample_data/subj02_timepoint01.mp4,Pass
,130,sample_data/subj02_timepoint01.mp4,Pass
,131,sample_data/subj02_timepoint01.mp4,Pass
,132,sample_data/subj02_timepoint01.mp4,Pass
,133,sample_data/subj02_timepoint01.mp4,Pass
,134,sample_data/subj02_timepoint01.mp4,Pass
,135,sample_data/subj02_timepoint01.mp4,Pass
,136,sample_data/subj02_timepoint01.mp4,Pass
,137,sample_data/subj02_timepoint01.mp4,Pass
,138,sample_data/subj02_timepoint01.mp4,Pass
,139,sample_data/subj02_timepoint01.mp4,Pass
,140,sample_data/subj02_timepoint01.mp4,Pass
,141,sample_data/subj02_timepoint01.mp4,Pass
,142,sample_data/subj02_timepoint01.mp4,Pass
,143,sample_data/subj02_timepoint01.mp4,Pass
,144,sample_data/subj02_timepoint01.mp4,Pass
,145,sample_data/subj02_timepoint01.mp4,Pass
,146,sample_data/subj02_timepoint01.mp4,Pass
,147,sample_data/subj02_timepoint01.mp4,Pass
,148,sample_data/subj02_timepoint01.mp4,Pass
,149,sample_data/subj02_timepoint01.mp4,Pass
,150,sample_data/subj02_timepoint01.mp4,Pass
,151,sample_data/subj02_timepoint01.mp4,Pass
,152,sample_data/subj02_timepoint01.mp4,Pass
,153,sample_data/subj02_timepoint01.mp4,Pass
,154,sample_data/subj02_timepoint01.mp4,Pass
,155,sample_data/subj02_timepoint01.mp4,Pass
,156,sample_data/subj02_timepoint01.mp4,Pass
,157,sample_data/subj02_timepoint01.mp4,Pass
,158,sample_data/subj02_timepoint01.mp4,Pass
,159,sample_data/subj02_timepoint01.mp4,Pass
,160,sample_data/subj02_timepoint01.mp4,Pass
,161,sample_data/subj02_timepoint01.mp4,Pass
,162,sample_data/subj02_timepoint01.mp4,Pass
,163,sample_data/subj02_timepoint01.mp4,Pass
,164,sample_data/subj02_timepoint01.mp4,Pass
,165,sample_data/subj02_timepoint01.mp4,Pass
,166,sample_data/subj02_timepoint01.mp4,Pass
,167,sample_data/subj02_timepoint01.mp4,Pass
,168,sample_data/subj02_timepoint01.mp4,Pass
,169,sample_data/subj02_timepoint01.mp4,Pass
,170,sample_data/subj02_timepoint01.mp4,Pass
,171,sample_data/subj02_timepoint01.mp4,Pass
,172,sample_data/subj02_timepoint01.mp4,Pass
,173,sample_data/subj02_timepoint01.mp4,Pass
,174,sample_data/subj02_timepoint01.mp4,Pass
,175,sample_data/subj02_timepoint01.mp4,Pass
,176,sample_data/subj02_timepoint01.mp4,Pass
,177,sample_data/subj02_timepoint01.mp4,Pass
,178,sample_data/subj02_timepoint01.mp4,Pass
,179,sample_data/subj02_timepoint01.mp4,Pass
,180,sample_data/subj02_timepoint01.mp4,Pass
,181,sample_data/subj02_timepoint01.mp4,Pass
,182,sample_data/subj02_timepoint01.mp4,Pass
,183,sample_data/subj02_timepoint01.mp4,Pass
,184,sample_data/subj02_timepoint01.mp4,Pass
,185,sample_data/subj02_timepoint01.mp4,Pass
,186,sample_data/subj02_timepoint01.mp4,Pass
,187,sample_data/subj02_timepoint01.mp4,Pass
,188,sample_data/subj02_timepoint01.mp4,Pass
,189,sample_data/subj02_timepoint01.mp4,Pass
,190,sample_data/subj02_timepoint01.mp4,Pass
,191,sample_data/subj02_timepoint01.mp4,Pass
,192,sample_data/subj02_timepoint01.mp4,Pass
,193,sample_data/subj02_timepoint01.mp4,Pass
,194,sample_data/subj02_timepoint01.mp4,Pass
,195,sample_data/subj02_timepoint01.mp4,Pass
,196,sample_data/subj02_timepoint01.mp4,Pass
,197,sample_data/subj02_timepoint01.mp4,Pass
,198,sample_data/subj02_timepoint01.mp4,Pass
,199,sample_data/subj02_timepoint01.mp4,Pass
,200,sample_data/subj02_timepoint01.mp4,Pass
,201,sample_data/subj02_timepoint01.mp4,Pass
,202,sample_data/subj02_timepoint01.mp4,Pass
,203,sample_data/subj02_timepoint01.mp4,Pass
,204,sample_data/subj02_timepoint01.mp4,Pass
,205,sample_data/subj02_timepoint01.mp4,Pass
,206,sample_data/subj02_timepoint01.mp4,Pass
,207,sample_data/subj02_timepoint01.mp4,Pass
,208,sample_data/subj02_timepoint01.mp4,Pass
,209,sample_data/subj02_timepoint01.mp4,Pass
,210,sample_data/subj02_timepoint01.mp4,Pass
,211,sample_data/subj02_timepoint01.mp4,Pass
,212,sample_data/subj02_timepoint01.mp4,Pass
,213,sample_data/subj02_timepoint01.mp4,Pass
,214,sample_data/subj02_timepoint01.mp4,Pass
,215,sample_data/subj02_timepoint01.mp4,Pass
,216,sample_data/subj02_timepoint01.mp4,Pass
,217,sample_data/subj02_timepoint01.mp4,Pass
,218,sample_data/subj02_timepoint01.mp4,Pass
,219,sample_data/subj02_timepoint01.mp4,Pass
,220,sample_data/subj02_timepoint01.mp4,Pass
,221,sample_data/subj02_timepoint01.mp4,Pass
,222,sample_data/subj02_timepoint01.mp4,Pass
,223,sample_data/subj02_timepoint01.mp4,Pass
,224,sample_data/subj02_timepoint01.mp4,Pass
,225,sample_data/subj02_timepoint01.mp4,Pass
,226,sample_data/subj02_timepoint01.mp4,Pass
,227,sample_data/subj02_timepoint01.mp4,Pass
,228,sample_data/subj02_timepoint01.mp4,Pass
,229,sample_data/subj02_timepoint01.mp4,Pass
,230,sample_data/subj02_timepoint01.mp4,Pass
,231,sample_data/subj02_timepoint01.mp4,Pass
,232,sample_data/subj02_timepoint01.mp4,Pass
,233,sample_data/subj02_timepoint01.mp4,Pass
,234,sample_data/subj02_timepoint01.mp4,Pass
,235,sample_data/subj02_timepoint01.mp4,Pass
,236,sample_data/subj02_timepoint01.mp4,Pass
,237,sample_data/subj02_timepoint01.mp4,Pass
,238,sample_data/subj02_timepoint01.mp4,Pass
,239,sample_data/subj02_timepoint01.mp4,Pass
,240,sample_data/subj02_timepoint01.mp4,Pass
,241,sample_data/subj02_timepoint01.mp4,Pass
,242,sample_data/subj02_timepoint01.mp4,Pass
,243,sample_data/subj02_timepoint01.mp4,Pass
,244,sample_data/subj02_timepoint01.mp4,Pass
,245,sample_data/subj02_timepoint01.mp4,Pass
,246,sample_data/subj02_timepoint01.mp4,Pass
,247,sample_data/subj02_timepoint01.mp4,Pass
,248,sample_data/subj02_timepoint01.mp4,Pass
,249,sample_data/subj02_timepoint01.mp4,Pass
,250,sample_data/subj02_timepoint01.mp4,Pass
,251,sample_data/subj02_timepoint01.mp4,Pass
,252,sample_data/subj02_timepoint01.mp4,Pass
,253,sample_data/subj02_timepoint01.mp4,Pass
,254,sample_data/subj02_timepoint01.mp4,Pass
,255,sample_data/subj02_timepoint01.mp4,Pass
,256,sample_data/subj02_timepoint01.mp4,Pass
,257,sample_data/subj02_timepoint01.mp4,Pass
,258,sample_data/subj02_timepoint01.mp4,Pass
,259,sample_data/subj02_timepoint01.mp4,Pass
,260,sample_data/subj02_timepoint01.mp4,Pass
,261,sample_data/subj02_timepoint01.mp4,Pass
,262,sample_data/subj02_timepoint01.mp4,Pass
,263,sample_data/subj02_timepoint01.mp4,Pass
,264,sample_data/subj02_timepoint01.mp4,Pass
,265,sample_data/subj02_timepoint01.mp4,Pass
,266,sample_data/subj02_timepoint01.mp4,Pass
,267,sample_data/subj02_timepoint01.mp4,Pass
,268,sample_data/subj02_timepoint01.mp4,Pass
,269,sample_data/subj02_timepoint01.mp4,Pass
,270,sample_data/subj02_timepoint01.mp4,Pass
,271,sample_data/subj02_timepoint01.mp4,Pass
,272,sample_data/subj02_timepoint01.mp4,Pass
,273,sample_data/subj02_timepoint01.mp4,Pass
,274,sample_data/subj02_timepoint01.mp4,Pass
,275,sample_data/subj02_timepoint01.mp4,Pass
,276,sample_data/subj02_timepoint01.mp4,Pass
,277,sample_data/subj02_timepoint01.mp4,Pass
,278,sample_data/subj02_timepoint01.mp4,Pass
,279,sample_data/subj02_timepoint01.mp4,Pass
,280,sample_data/subj02_timepoint01.mp4,Pass
,281,sample_data/subj02_timepoint01.mp4,Pass
,282,sample_data/subj02_timepoint01.mp4,Pass
,283,sample_data/subj02_timepoint01.mp4,Pass
,284,sample_data/subj02_timepoint01.mp4,Pass
,285,sample_data/subj02_timepoint01.mp4,Pass
,286,sample_data/subj02_timepoint01.mp4,Pass
,287,sample_data/subj02_timepoint01.mp4,Pass
,288,sample_data/subj02_timepoint01.mp4,Pass
,289,sample_data/subj02_timepoint01.mp4,Pass
,290,sample_data/subj02_timepoint01.mp4,Pass
,291,sample_data/subj02_timepoint01.mp4,Pass
,292,sample_data/subj02_timepoint01.mp4,Pass
,293,sample_data/subj02_timepoint01.mp4,Pass
,294,sample_data/subj02_timepoint01.mp4,Pass
,295,sample_data/subj02_timepoint01.mp4,Pass
,296,sample_data/subj02_timepoint01.mp4,Pass
,297,sample_data/subj02_timepoint01.mp4,Pass
,298,sample_data/subj02_timepoint01.mp4,Pass
,299,sample_data/subj02_timepoint01.mp4,Pass
,300,sample_data/subj02_timepoint01.mp4,Pass
,301,sample_data/subj02_timepoint01.mp4,Pass
,302,sample_data/subj02_timepoint01.mp4,Pass
,303,sample_data/subj02_timepoint01.mp4,Pass
,304,sample_data/subj02_timepoint01.mp4,Pass
,305,sample_data/subj02_timepoint01.mp4,Pass
,306,sample_data/subj02_timepoint01.mp4,Pass
,307,sample_data/subj02_timepoint01.mp4,Pass
,308,sample_data/subj02_timepoint01.mp4,Pass
,309,sample_data/subj02_timepoint01.mp4,Pass
,310,sample_data/subj02_timepoint01.mp4,Pass
,311,sample_data/subj02_timepoint01.mp4,Pass
,312,sample_data/subj02_timepoint01.mp4,Pass
,313,sample_data/subj02_timepoint01.mp4,Pass
